industry,ticker_a,ticker_b,cointegration_p,adf_p,beta,kappa,mu,sigma,half_life,latest_spread,z_score,reversion_probability,signal,expected_spread,signal_strength
"Hotels, Resorts & Cruise Lines",NCLH,RCL,0.025304789469232748,0.006005976363771609,0.19272872195407953,0.23909328668647525,2.020275954184902,0.033184933479719396,2.8990658423164937,1.859330367675095,-3.35379728872556,0.7002305911645612,PENDING,1.9633730963733367,2.3484314581304013
Multi-Utilities,CMS,DTE,0.003118538777687616,0.0005580945621110595,0.9294606002386059,0.03208811451134111,-0.2921005869933002,0.006069742571157633,21.601368329540268,-0.3604834540216375,-2.854066776846367,0.6725000187494701,PENDING,-0.31627758148965784,1.9193599609414214
Electric Utilities,ETR,PPL,0.045544765274662405,0.012027142580709966,1.7759958370606141,0.0212829563356311,-1.8351463422628034,0.015266415304204953,32.56818130099271,-1.6344532808630765,2.7122284049690566,0.6644435396958012,PENDING,-1.7641906299363859,1.802122641861137
Transaction & Payment Processing Services,MA,V,0.03801786045646289,0.0097393370872041,0.9884849026661585,0.02210687473160234,0.5607208513016257,0.007278165820704647,31.354372292573483,0.47538970735752617,-2.465268887254913,0.65023596211658,PENDING,0.5305517360369867,1.603006486780269
Oil & Gas Exploration & Production,EQT,EXE,0.022302288812292365,0.005189453883970736,1.307698578328305,0.021177441387584824,-2.090268321364969,0.019150738412594563,32.73044972119718,-1.9085540394412455,1.9527888206664776,0.6200928800225338,PENDING,-2.0260226208716143,1.2109104438828835
Semiconductors,ADI,MPWR,0.017579051745363446,0.003941911928105401,0.6334833896201104,0.019726686964993117,1.2167304939478207,0.01586351608563378,35.13753636330322,1.3694729845296605,1.9125046019399186,0.6176894031311035,PENDING,1.2707331193806914,1.181333826057757
Life Sciences Tools & Services,DHR,IQV,0.0031705134751943602,0.0005660678579792349,0.672849941478687,0.02515013464401394,1.8231478241831425,0.01369872456862611,27.560376529631156,1.7128971761806793,-1.8050372639823837,0.6112555932255206,PENDING,1.784168333766766,1.1033391235897225
Life Sciences Tools & Services,A,IQV,0.03573068391329312,0.009033640098794841,0.5409928707610693,0.015407751558099245,1.985708387788,0.01387434048055209,44.98691310969284,2.11899235448594,1.6863596134380494,0.6041150903183294,PENDING,2.032831386125778,1.0187552901813104
Asset Management & Custody Banks,APO,ARES,0.021904166412161905,0.005078264009453054,0.9886648147746081,0.019425499309155277,-0.08857589532952534,0.015742854977243207,35.682335343280656,0.04317204933054253,1.6495346665688264,0.6018921907203394,PENDING,-0.041995962791263344,0.9928420341302555
Multi-Utilities,CMS,NI,0.03326081051240139,0.008288983507601823,0.48573204450317714,0.024658794199271784,2.4531037420667694,0.008270797371228973,28.109532646183286,2.3921224908621053,-1.6373814491926257,0.6011578441146437,PENDING,2.43154361394074,0.9843247019899498
